timestamp,machine_id,spindle_temp,vibration_mm_s,motor_current_a,status
2026-01-15T00:00:00,CNC-001,71.6,1.4,24.8,NORMAL
2026-01-15T00:00:00,CNC-002,77.4,1.8,24.9,NORMAL
2026-01-15T00:00:00,CNC-004,71.2,1.8,23.5,NORMAL
2026-01-15T00:00:00,CNC-007,66.6,1.8,23.7,NORMAL
2026-01-15T00:00:00,CNC-009,76.0,1.1,25.2,RED
2026-01-15T01:00:00,CNC-001,74.1,1.2,21.2,NORMAL
2026-01-15T01:00:00,CNC-002,71.0,1.2,21.3,NORMAL
2026-01-15T01:00:00,CNC-004,76.8,1.3,24.5,NORMAL
2026-01-15T01:00:00,CNC-007,67.5,1.2,26.9,NORMAL
2026-01-15T01:00:00,CNC-009,70.8,1.3,23.4,NORMAL
2026-01-15T02:00:00,CNC-001,71.3,1.5,25.5,NORMAL
2026-01-15T02:00:00,CNC-002,69.2,1.8,24.2,NORMAL
2026-01-15T02:00:00,CNC-004,66.1,1.5,26.2,NORMAL
2026-01-15T02:00:00,CNC-007,74.7,1.9,24.0,NORMAL
2026-01-15T02:00:00,CNC-009,70.7,1.8,28.1,NORMAL
2026-01-15T03:00:00,CNC-001,75.5,1.6,27.7,NORMAL
2026-01-15T03:00:00,CNC-002,73.4,1.9,26.3,NORMAL
2026-01-15T03:00:00,CNC-004,73.4,1.0,25.4,NORMAL
2026-01-15T03:00:00,CNC-007,71.7,1.5,28.8,NORMAL
2026-01-15T03:00:00,CNC-009,71.5,1.3,22.6,NORMAL
2026-01-15T04:00:00,CNC-001,72.7,1.9,25.1,NORMAL
2026-01-15T04:00:00,CNC-002,74.2,1.5,26.7,NORMAL
2026-01-15T04:00:00,CNC-004,72.9,1.5,23.4,NORMAL
2026-01-15T04:00:00,CNC-007,72.5,1.4,24.1,NORMAL
2026-01-15T04:00:00,CNC-009,72.2,1.8,24.7,NORMAL
2026-01-15T05:00:00,CNC-001,71.7,1.4,23.3,NORMAL
2026-01-15T05:00:00,CNC-002,74.2,0.8,22.6,NORMAL
2026-01-15T05:00:00,CNC-004,68.1,1.3,25.1,NORMAL
2026-01-15T05:00:00,CNC-007,73.2,1.6,23.7,NORMAL
2026-01-15T05:00:00,CNC-009,68.3,1.3,26.2,NORMAL
2026-01-15T06:00:00,CNC-001,74.6,1.4,25.8,NORMAL
2026-01-15T06:00:00,CNC-002,71.9,1.3,24.1,NORMAL
2026-01-15T06:00:00,CNC-004,71.0,1.6,24.0,NORMAL
2026-01-15T06:00:00,CNC-007,68.5,1.5,23.3,NORMAL
2026-01-15T06:00:00,CNC-009,70.7,1.6,21.8,NORMAL
2026-01-15T07:00:00,CNC-001,72.7,1.1,22.8,NORMAL
2026-01-15T07:00:00,CNC-002,73.9,1.5,25.7,NORMAL
2026-01-15T07:00:00,CNC-004,70.1,1.6,24.6,NORMAL
2026-01-15T07:00:00,CNC-007,74.8,1.8,21.8,NORMAL
2026-01-15T07:00:00,CNC-009,73.4,1.7,27.8,NORMAL
2026-01-15T08:00:00,CNC-001,64.1,1.3,23.2,NORMAL
2026-01-15T08:00:00,CNC-002,68.3,1.5,27.3,NORMAL
2026-01-15T08:00:00,CNC-004,72.0,1.2,25.3,NORMAL
2026-01-15T08:00:00,CNC-007,67.1,1.6,26.5,NORMAL
2026-01-15T08:00:00,CNC-009,71.0,1.8,23.8,NORMAL
2026-01-15T09:00:00,CNC-001,74.6,1.1,22.3,NORMAL
2026-01-15T09:00:00,CNC-002,75.3,1.3,24.7,NORMAL
2026-01-15T09:00:00,CNC-004,68.9,1.6,26.4,NORMAL
2026-01-15T09:00:00,CNC-007,70.1,1.6,24.6,NORMAL
2026-01-15T09:00:00,CNC-009,70.8,1.7,24.6,NORMAL
2026-01-15T10:00:00,CNC-001,71.7,1.4,25.2,NORMAL
2026-01-15T10:00:00,CNC-002,74.2,0.8,26.7,NORMAL
2026-01-15T10:00:00,CNC-004,73.9,1.6,22.0,NORMAL
2026-01-15T10:00:00,CNC-007,69.8,1.7,24.5,NORMAL
2026-01-15T10:00:00,CNC-009,66.3,1.5,24.0,NORMAL
2026-01-15T11:00:00,CNC-001,74.5,1.5,25.9,NORMAL
2026-01-15T11:00:00,CNC-002,65.3,1.8,23.6,NORMAL
2026-01-15T11:00:00,CNC-004,69.8,1.3,24.7,NORMAL
2026-01-15T11:00:00,CNC-007,74.3,1.5,27.9,NORMAL
2026-01-15T11:00:00,CNC-009,72.1,1.3,21.7,NORMAL
2026-01-15T12:00:00,CNC-001,70.1,1.3,24.1,NORMAL
2026-01-15T12:00:00,CNC-002,74.0,1.4,25.9,NORMAL
2026-01-15T12:00:00,CNC-004,72.2,1.4,25.7,NORMAL
2026-01-15T12:00:00,CNC-007,64.4,1.8,23.9,NORMAL
2026-01-15T12:00:00,CNC-009,67.6,1.1,20.3,NORMAL
2026-01-15T13:00:00,CNC-001,73.5,1.9,23.9,NORMAL
2026-01-15T13:00:00,CNC-002,71.6,1.4,22.8,NORMAL
2026-01-15T13:00:00,CNC-004,67.4,1.9,21.5,NORMAL
2026-01-15T13:00:00,CNC-007,68.3,1.5,27.1,RED
2026-01-15T13:00:00,CNC-009,69.2,1.7,26.2,NORMAL
2026-01-15T14:00:00,CNC-001,74.3,1.9,26.0,NORMAL
2026-01-15T14:00:00,CNC-002,67.8,1.4,23.6,NORMAL
2026-01-15T14:00:00,CNC-004,73.4,1.4,22.8,NORMAL
2026-01-15T14:00:00,CNC-007,70.2,1.3,24.0,NORMAL
2026-01-15T14:00:00,CNC-009,72.7,1.7,23.7,NORMAL
2026-01-15T15:00:00,CNC-001,74.5,1.3,23.0,NORMAL
2026-01-15T15:00:00,CNC-002,79.6,1.7,26.4,NORMAL
2026-01-15T15:00:00,CNC-004,72.7,1.3,22.2,NORMAL
2026-01-15T15:00:00,CNC-007,72.5,1.9,28.1,NORMAL
2026-01-15T15:00:00,CNC-009,72.4,1.3,27.7,NORMAL
2026-01-15T16:00:00,CNC-001,74.9,1.1,25.1,NORMAL
2026-01-15T16:00:00,CNC-002,70.5,1.3,28.7,NORMAL
2026-01-15T16:00:00,CNC-004,72.0,1.4,26.5,NORMAL
2026-01-15T16:00:00,CNC-007,71.5,1.7,25.4,NORMAL
2026-01-15T16:00:00,CNC-009,74.4,1.2,24.4,NORMAL
2026-01-15T17:00:00,CNC-001,72.8,1.5,26.4,NORMAL
2026-01-15T17:00:00,CNC-002,74.3,1.9,24.1,NORMAL
2026-01-15T17:00:00,CNC-004,74.1,1.4,25.1,NORMAL
2026-01-15T17:00:00,CNC-007,75.0,1.6,23.4,NORMAL
2026-01-15T17:00:00,CNC-009,71.8,1.4,25.5,NORMAL
2026-01-15T18:00:00,CNC-001,73.9,1.3,23.9,NORMAL
2026-01-15T18:00:00,CNC-002,69.6,1.9,23.8,NORMAL
2026-01-15T18:00:00,CNC-004,75.1,1.3,27.1,NORMAL
2026-01-15T18:00:00,CNC-007,71.2,1.3,26.8,NORMAL
2026-01-15T18:00:00,CNC-009,72.8,1.1,25.3,NORMAL
2026-01-15T19:00:00,CNC-001,69.5,1.3,25.4,NORMAL
2026-01-15T19:00:00,CNC-002,75.6,1.7,23.2,NORMAL
2026-01-15T19:00:00,CNC-004,72.3,1.0,24.9,NORMAL
2026-01-15T19:00:00,CNC-007,75.7,1.0,21.2,NORMAL
2026-01-15T19:00:00,CNC-009,76.2,1.6,22.9,NORMAL
2026-01-15T20:00:00,CNC-001,69.8,1.4,21.3,NORMAL
2026-01-15T20:00:00,CNC-002,75.6,1.9,25.7,NORMAL
2026-01-15T20:00:00,CNC-004,68.1,1.5,22.8,NORMAL
2026-01-15T20:00:00,CNC-007,63.2,1.5,27.6,NORMAL
2026-01-15T20:00:00,CNC-009,72.4,1.6,26.0,NORMAL
2026-01-15T21:00:00,CNC-001,68.8,1.7,31.8,NORMAL
2026-01-15T21:00:00,CNC-002,74.1,2.0,24.4,NORMAL
2026-01-15T21:00:00,CNC-004,68.3,2.0,24.4,NORMAL
2026-01-15T21:00:00,CNC-007,70.7,1.7,24.5,NORMAL
2026-01-15T21:00:00,CNC-009,68.1,1.4,26.0,NORMAL
2026-01-15T22:00:00,CNC-001,72.8,1.6,27.2,NORMAL
2026-01-15T22:00:00,CNC-002,70.0,1.8,27.3,NORMAL
2026-01-15T22:00:00,CNC-004,73.7,0.9,28.9,NORMAL
2026-01-15T22:00:00,CNC-007,69.9,2.0,27.3,NORMAL
2026-01-15T22:00:00,CNC-009,72.7,1.3,24.8,NORMAL
2026-01-15T23:00:00,CNC-001,74.7,1.4,25.3,NORMAL
2026-01-15T23:00:00,CNC-002,77.9,1.3,30.2,NORMAL
2026-01-15T23:00:00,CNC-004,75.6,2.0,24.9,NORMAL
2026-01-15T23:00:00,CNC-007,74.1,1.5,26.3,NORMAL
2026-01-15T23:00:00,CNC-009,66.3,1.8,26.4,NORMAL
2026-01-16T00:00:00,CNC-001,75.7,1.5,28.9,RED
2026-01-16T00:00:00,CNC-002,70.4,1.1,25.8,NORMAL
2026-01-16T00:00:00,CNC-004,69.8,1.6,21.1,NORMAL
2026-01-16T00:00:00,CNC-007,72.1,1.7,30.9,NORMAL
2026-01-16T00:00:00,CNC-009,73.2,1.5,25.4,NORMAL
2026-01-16T01:00:00,CNC-001,70.9,1.4,22.0,NORMAL
2026-01-16T01:00:00,CNC-002,73.8,1.4,26.0,NORMAL
2026-01-16T01:00:00,CNC-004,73.9,1.4,24.4,NORMAL
2026-01-16T01:00:00,CNC-007,70.1,1.7,24.8,NORMAL
2026-01-16T01:00:00,CNC-009,71.9,1.2,22.7,NORMAL
2026-01-16T02:00:00,CNC-001,71.5,1.9,26.6,NORMAL
2026-01-16T02:00:00,CNC-002,73.5,1.9,26.7,NORMAL
2026-01-16T02:00:00,CNC-004,70.0,1.8,23.7,NORMAL
2026-01-16T02:00:00,CNC-007,75.5,1.6,25.2,NORMAL
2026-01-16T02:00:00,CNC-009,77.6,0.9,24.0,NORMAL
